"scope","method","path","url","status","ms","bytes","error"
"main","GET","/item-reply/{cookie_id}/{item_id}","http://127.0.0.1:18080/item-reply/1/1","401","6.4","0",""
"main","GET","/admin/backup/list","http://127.0.0.1:18080/admin/backup/list","401","4.9","0",""
"main","GET","/admin/data/{table_name}","http://127.0.0.1:18080/admin/data/admin_users","401","4.7","0",""
"main","GET","/api/orders","http://127.0.0.1:18080/api/orders?cookie_id=1&page=1&page_size=1","401","6.4","0",""
"main","GET","/api/orders/{order_id}","http://127.0.0.1:18080/api/orders/1","401","5.8","0",""
"main","GET","/{path}","http://127.0.0.1:18080/health","200","96.2","183",""
"netdisk","GET","/api/account/{account_id}/devices","http://127.0.0.1:18080/api/account/1/devices","404","4.1","0",""
"netdisk","GET","/api/device_history","http://127.0.0.1:18080/api/device_history","404","2.8","0",""
"netdisk","GET","/api/device_logs","http://127.0.0.1:18080/api/device_logs","404","2.7","0",""
"netdisk","GET","/api/auth/info","http://127.0.0.1:18080/api/auth/info","404","2.5","0",""
"netdisk","GET","/api/dashboard/summary","http://127.0.0.1:18080/api/dashboard/summary","404","2.4","0",""
"netdisk","GET","/api/auth/login-logs","http://127.0.0.1:18080/api/auth/login-logs?limit=1&hours=1","404","2.4","0",""
"netdisk","GET","/api/baidu/get_qr","http://127.0.0.1:18080/api/baidu/get_qr","404","2.8","0",""
"netdisk","GET","/api/baidu/check_status","http://127.0.0.1:18080/api/baidu/check_status?sign=1","404","3","0",""
"netdisk","GET","/api/account/assign","http://127.0.0.1:18080/api/account/assign","404","2.6","0",""
"netdisk","GET","/api/cdkey/list","http://127.0.0.1:18080/api/cdkey/list","404","2.6","0",""
"netdisk","GET","/api/cdkey/redeem","http://127.0.0.1:18080/api/cdkey/redeem?code=TESTCODE","404","3.1","0",""
"judian","GET","/cdkey/redeem","http://127.0.0.1:18080/netdisk_api/judian_api/cdkey/redeem?code=TESTCODE&session=debug-session&refresh=0","404","251.1","0",""
"judian","GET","/public/unlock/{session_id}","http://127.0.0.1:18080/netdisk_api/judian_api/public/unlock/debug-session","404","81.8","0",""
"judian","GET","/public/unlock/{session_id}/batch","http://127.0.0.1:18080/netdisk_api/judian_api/public/unlock/debug-session/batch","404","80.8","0",""
"judian","GET","/public/unlock/{session_id}/batch/preview","http://127.0.0.1:18080/netdisk_api/judian_api/public/unlock/debug-session/batch/preview?count=1&vip_id=1","404","86.1","0",""
"judian","GET","/verify","http://127.0.0.1:18080/netdisk_api/judian_api/verify","200","77.9","57",""
"judian","GET","/dashboard/summary","http://127.0.0.1:18080/netdisk_api/judian_api/dashboard/summary","200","159.5","5640",""
"judian","GET","/accounts","http://127.0.0.1:18080/netdisk_api/judian_api/accounts","200","96.3","2257",""
"judian","GET","/cards","http://127.0.0.1:18080/netdisk_api/judian_api/cards","200","102.3","22",""
"judian","GET","/cards/{card_id}","http://127.0.0.1:18080/netdisk_api/judian_api/cards/1","404","94.9","0",""
"judian","GET","/cdkeys","http://127.0.0.1:18080/netdisk_api/judian_api/cdkeys","200","116.2","20410",""
"judian","GET","/cdkeys/claim","http://127.0.0.1:18080/netdisk_api/judian_api/cdkeys/claim?accountId=1&cardId=1&count=1","404","104.2","0",""
"judian","GET","/cdkeys/claim/text","http://127.0.0.1:18080/netdisk_api/judian_api/cdkeys/claim/text?accountId=1&cardId=1&count=1","404","102.4","0",""
